District,Zone,Latitude,Longitude
Nalgonda,Orange,17.0500,79.2700
Narayanpet,Orange,16.7300,77.5000
Nirmal,Orange,19.1000,78.3500
Nizamabad,Orange,18.6720,78.0940
Nizampatnam,Green,15.9000,80.6667
Rajanna Sircilla,Orange,18.3880,78.8000
Ranga Reddy,Red,17.3890,77.8367
Sangareddi,Orange,17.6294,78.0917
Siddipet,Green,18.1000,78.8500
Suryapet,Red,17.1414,79.6236
Vikarabad,Red,17.3300,77.9000
Wanaparthy,Green,16.3610,78.0627
Warangal Rural,Green,18.1120,79.0190
Warangal Urban,Red,17.9740,79.9190
Yadadri Bhuvanagiri,Green,18.1120,79.0190
Ariyalur,Orange,11.0760,79.1175
Chengalpattu,Red,12.7000,79.9800
Chennai,Red,13.0900,80.2800
Coimbatore,Orange,11.0183,76.9725
Cuddalore,Orange,11.7500,79.7500
Dharmapuri,Orange,12.1260,78.1540
Dindigul,Orange,10.3500,77.9500
Erode,Green,11.3500,77.7333
Kallakurichi,Orange,11.7389,78.9739
Kanchipuram,Red,12.8200,79.7100
Kanyakumari,Orange,8.0780,77.5410
Karur,Orange,10.9500,78.0800
Krishnagiri,Orange,12.5300,78.2300
Madurai,Red,9.9197,78.1194
Nagapattinam,Orange,10.7700,79.8300
Namakkal,Red,11.2333,78.1667
Nilgiris,Orange,11.4000,76.7000
Perambalur,Orange,11.2300,78.8800
Pudukkottai,Orange,10.3800,78.8200
Ramanathapuram,Orange,9.3800,78.8300
Ranipet,Red,12.9275,79.3302
Salem,Orange,11.6500,78.1600
Sivaganga,Orange,9.8700,78.4800
Tenkasi,Orange,8.9700,77.3000
Thanjavur,Red,10.7825,79.1313
Theni,Orange,10.0090,77.4700
Tiruvallur,Red,13.1500,79.9100
Thiruvarur,Red,10.7730,79.6370
Thoothukudi,Orange,8.8100,78.1400
Tiruchirappalli,Orange,10.8050,78.6856
Tirunelveli,Orange,8.7300,77.7000
Tiruppattur,Orange,12.5000,78.6000
Tiruppur,Red,11.1100,77.3400
Tiruvannamalai,Orange,12.2200,79.0700
Vellore,Red,12.9202,79.1333
Viluppuram,Orange,11.9410,79.4930
Virudhunagar,Red,9.5833,77.9500
Dhalai,Red,23.8253,91.9732
Gomati,Orange,23.4613,91.6072
Khowai,Green,24.0467,91.6232
North Tripura,Orange,24.0921,92.2451
Sipahijala,Green,23.7451,91.7468
South Tripura,Green,23.5000,91.6667
Unokoti,Green,24.1910,92.0460
West Tripura,Green,23.9167,91.5000
Agra,Red,27.1704,78.0150
Aligarh,Red,27.8922,78.0618
Ambedkar Nagar,Green,27.4500,83.1333
Amethi,Orange,26.3474,81.6239
Amroha,Red,28.9000,78.4700
Auraiya,Orange,26.6557,79.5150
Faizabad,Orange,26.6381,82.0590
Azamgarh,Orange,26.6000,83.1900
Bagpat,Orange,28.9400,77.2200
